sample_id,email_hash,request_id,provider_request_id,true_label,model,provider,model_id,temperature,status,error_type,error_message,parse_error,attempts,latency_seconds,api_status_code,predicted_label,probability,remetente_suspeito,senso_urgencia_medo,solicitacao_dados_sensiveis,links_suspeitos,erros_gramaticais,email_nao_solicitado,saudacao_generica,anexos_suspeitos,formatacao_estranha,oferta_boa_demais,dominio_suspeito,remetente_falsificado,historias_elaboradas,personalizacao_excessiva,falta_contato,conteudo_emocional,inconsistencias_contato,anexos_estranhos,endereco_resposta_diferente,botoes_enganosos,score_risco_geral,score_confianca,score_urgencia,score_solicitacao_sensivel,score_suspeita_links,explanation,contato_ausente_ou_inconsistente
email_01489,d23e460567ec117e,groq-compound:email_01489:a6948f890b1d,req_01kr52gweae2dbkyfgbd30v6hc,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,27.1752,200,phishing,0.8,1,0,0,0,1,1,1,0,1,1,1,,0,0,,0,,,0,0,8,2,2,0,0,"Localized software offer seems too good to be true, likely scam",1.0
email_01668,97bd723d4285c893,groq-compound:email_01668:5fc32a76337f,req_01kr51x1c1fz6tgfecbweb3zgt,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,27.964,200,phishing,0.9,1,1,0,1,1,0,1,0,1,1,0,,0,0,,1,,,0,1,9,1,9,0,9,"Suspicious offer, urgency, poor formatting and grammar",0.0
email_01940,b9d66f99a561d4c9,groq-compound:email_01940:4b3554b14511,req_01kr5172mjef98ec0h3nqsvh67,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,31.7877,200,phishing,0.9,1,0,0,1,1,1,1,0,1,1,1,,1,0,,0,,,0,0,9,1,0,0,1,"Email suspeito de phishing com oferta boa demais, remetente desconhecido e links suspeitos.",1.0
email_02504,9d60b651989d3261,groq-compound:email_02504:032d8e222f67,req_01kr52wqage48bwxtv8ry2pjas,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,38.1606,200,phishing,0.92,0,0,0,1,0,1,1,0,1,0,0,,0,0,,0,,,0,0,5,2,0,0,1,"Unsolicited adult promo, generic greeting, suspicious click link, odd formatting, no contact info.",1.0
email_02505,97aaee9a44d516ca,groq-compound:email_02505:ba87f60fef16,req_01kr51ck0vegmr45nbj6q67xj5,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.0487,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a legitimate academic discussion,0.0
email_02636,2fe395647995e735,groq-compound:email_02636:f9b1675d51df,req_01kqwmf4wzer2bcs923dkw2ch5,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,25.9274,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Legitimate academic conference announcement,
email_02687,0fcd1fb935256ada,groq-compound:email_02687:20f53c629ded,req_01kr819497fg7bkc092k1ma9fz,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,35.6698,200,phishing,0.9,0,0,0,1,1,1,1,0,1,1,1,,1,0,,1,,,0,0,8,2,3,2,9,Phishing attempt with suspicious link and too-good-to-be-true offer,1.0
email_02830,2e1015929ac4736c,groq-compound:email_02830:cde60bf4dde8,req_01kr56bcxrejdrw6p63jweev38,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.9472,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,1,0,0,0,Email appears to be a genuine apology and technical discussion,0.0
email_02960,a87e2f93bb2dea7e,groq-compound:email_02960:5b0658a77f2b,req_01kr52yjpefrpsw9wbavtvnckn,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,28.0685,200,safe,0.07,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,5,10,10,0,0,"Mensagem interna de negócios, sem sinais de phishing.",0.0
email_03936,2e1cfa82b035c26c,groq-compound:email_03936:ab4371b24371,req_01kr5636m4ehpt44w929n37zq3,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,26.9741,200,safe,1.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email vazio,0.0
email_03946,da43452b19dadba2,groq-compound:email_03946:7c8db03b20c7,req_01kr5308nre4gr5b969rk0627g,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,29.1784,200,phishing,0.9,1,0,1,0,1,1,1,0,1,1,0,,0,0,,0,,,0,0,7,1,0,1,0,"Solicita SSN, oferta barata, sem saudação, erros, formato estranho, remetente desconhecido",0.0
email_04643,3263584838324ab5,groq-compound:email_04643:dfbf7dd4c626,req_01kqwmg267erhaqydr1czjmjyj,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,29.1896,200,safe,0.2,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,2,8,2,0,0,"Email appears to be an internal communication regarding a management summary change, with no clear signs of phishing.",
email_04652,7f5fd125d859e027,groq-compound:email_04652:2d114e08924e,req_01kr9qsc7tf1bt4236grbfrnbq,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.9851,200,phishing,0.4,1,0,0,0,1,1,0,0,1,0,1,,0,0,,0,,,0,0,4,2,1,0,0,Suspicious formatting and grammatical errors.,1.0
email_04781,ae50b92ade5c4aa6,groq-compound:email_04781:733c26d3dd0c,req_01kr51fezzfwv8tsx6g8bgcf6t,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.9374,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a legitimate internal company communication.,0.0
email_04817,0d07175b7afe4acd,groq-compound:email_04817:d565202c9dd7,req_01kr56e1c0ejnsx09mq50s40pd,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,29.2911,200,phishing,0.75,1,0,0,0,1,1,1,1,1,0,0,,0,0,,0,,,0,0,6,3,0,0,0,"Unsolicited email with generic greeting, poor formatting, suspicious .doc attachment.",0.0
email_05133,fba6e9ba0618f4cf,groq-compound:email_05133:8d47010dc2c6,req_01kqwmgrh2e7qsp5j0pawajrzh,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,23.4235,200,safe,0.1,0,0,0,0,0,1,0,0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0,0,10,10,10,0,0,Legitimate tech inquiry,
email_05150,bf2c289b67fc70ee,groq-compound:email_05150:2f8ea5c39f45,req_01kr55sbx9egyre0gaya8ntxyb,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,3.6079,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a legitimate internal corporate communication.,0.0
email_05220,b931a653ac2a87c1,groq-compound:email_05220:9d840f70179c,req_01kr51yvz3fzkagm09ryjg20b9,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,31.5857,200,phishing,0.92,0,1,0,1,1,0,1,0,1,1,0,,0,0,,1,,,0,1,9,1,7,0,8,"Multiple red flags: suspicious links, grammar errors, generic greeting, urgent threat, too‑good‑to‑be offer.",0.0
email_05398,d2162d66ef1889a2,groq-compound:email_05398:226d632b62a6,req_01kr51kaykfx99mhad0jnytnqw,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,34.6616,200,safe,0.05,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,,,0,0,1,9,0,0,0,"Mensagem curta, sem pedido suspeito, risco muito baixo",0.0
email_05685,845fe6ece191e34b,groq-compound:email_05685:b609c76ac361,req_01kr7y0nazfkk9kcn3kr743e39,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,34.2023,200,phishing,0.9,1,0,0,1,1,1,0,0,1,1,1,,0,0,,0,,,1,0,8,2,3,4,9,Email promotes suspicious pharmaceutical offer with red flags.,1.0
email_05995,2dd16332fdf4303b,groq-compound:email_05995:5fedd2fe3793,req_01kr9qw2cvfjhr3qwfrdzts5s8,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,28.399,200,phishing,0.6,0,0,0,0,1,1,1,0,1,1,0,,0,0,,0,,,0,0,6,2,1,0,0,Suspicious short message with generic content.,1.0
email_06033,37c0cf7fd50ed283,groq-compound:email_06033:0ea2d5a2740c,req_01kr7y8s1je14remy86p7cervx,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,28.4284,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,2,8,3,0,0,Email appears to be a genuine invitation to a social gathering.,0.0
email_06713,39b2955a03db1b82,groq-compound:email_06713:a49b36263b58,req_01kr9r28fyf4cazbgk5e5038rq,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,28.9512,200,safe,0.5,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,5,0,0,0,Conteúdo insuficiente para análise.,0.0
email_06725,cd8d6a8569710bc0,groq-compound:email_06725:3f23cbd3ee7a,req_01kr87g0q4e18aqam1at4ykeky,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,36.3326,200,safe,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,Legitimate academic call for papers.,0.0
email_06794,c8f3eaa2c3d745ea,groq-compound:email_06794:edcd6d2ae5bf,req_01kr55wkt8e1vv8g2jrg700yhf,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,37.5337,200,phishing,0.88,0,1,0,0,1,1,1,0,1,1,0,,0,0,,0,,,0,0,8,2,1,0,0,"Unsolicited spam with many errors, unrealistic drug offers, no greeting, and odd formatting.",1.0
email_06835,e35f1ced7465cd36,groq-compound:email_06835:0352bb680a22,req_01kr7xzrhwfzfsmat2pxs1pch1,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,31.3944,200,safe,0.9,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,1,9,0,0,0,Email parece legítimo com detalhes financeiros específicos.,0.0
email_07246,adaefe98c93c4d12,groq-compound:email_07246:fd363b7a0319,req_01kr56je17ek6vjcnq3yq12aqk,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.1482,200,safe,0.15,0,0,0,0,0,1,1,0,0,0,0,,0,0,,0,,,0,0,2,3,0,0,0,"Email parece ser um relatório interno sem solicitações, provavelmente seguro",0.0
email_07255,356154d8d43f61ac,groq-compound:email_07255:b9fa3e78e622,req_01kr7y4w55e0gah9b8mzpmx4js,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,37.6807,200,phishing,0.9,1,1,0,1,1,1,1,0,0,1,1,,0,0,,1,,,0,0,8,2,9,4,8,Email contains multiple phishing indicators.,1.0
email_07746,adffbf2373387f13,groq-compound:email_07746:c8635bc60758,req_01kr55yf2ze1zsym9xmjzxw5qx,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,27.6625,200,safe,0.1,0,0,0,0,1,1,0,0,1,0,0,,1,0,,0,,,0,0,1,2,0,0,0,"Email appears to be a garbled stock newsletter, unsolicited with many errors, not typical phishing.",1.0
email_08238,e35e3afdf4c2d63c,groq-compound:email_08238:035904353875,req_01kr9c17ezexebv0y765c9429j,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,9.0252,200,safe,0.95,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,9,0,0,0,"Email contém apenas URL e data, sem sinais de phishing.",0.0
email_08547,803273217299c58d,groq-compound:email_08547:529d658315a4,req_01kr529g0qe1bagc24wynj1n4v,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,35.2385,200,safe,0.2,0,0,0,0,0,0,1,0,0,0,0,,0,0,,0,,,0,0,2,8,2,0,0,"Legitimate request for timesheets, no red flags except generic greeting",0.0
email_08574,e47553342f960d88,groq-compound:email_08574:b267e05b97a2,req_01kr9r34sef4mamqcgjm1t573b,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,27.8028,200,phishing,0.9,1,0,0,0,1,1,0,0,1,0,1,,0,0,,0,,,0,0,8,2,5,2,3,Email seems suspicious due to incomplete content.,1.0
email_08633,3a108074a81c2914,groq-compound:email_08633:b6f787cbb8e6,req_01kr51632bef3t4nbwdevdwheq,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,27.0562,200,phishing,0.9,1,1,1,0,1,1,1,0,1,1,1,,1,0,,1,,,1,0,9,1,8,9,0,Email suspeito com oferta improvável e pedido de dados sensíveis,1.0
email_08940,5866db3987044a6b,groq-compound:email_08940:e328b67fe162,req_01kr9qt7hhfhwtgfe00r726fhs,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,30.6919,200,safe,0.2,0,0,0,0,1,0,0,0,1,0,0,,0,0,,0,,,0,0,2,6,0,0,0,Email fragment seems irregular but lacks clear phishing indicators.,0.0
email_08962,7ef3880b2eb2fb62,groq-compound:email_08962:a894d690810c,req_01kr52vnfzetc86svw67276hke,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,36.1698,200,safe,0.1,0,0,0,0,0,1,1,0,0,0,0,,0,0,,0,,,0,0,1,9,2,0,0,"Unsolicited job posting, generic greeting, no data request; low phishing risk",0.0
email_09057,8b204dc48f54de4a,groq-compound:email_09057:b583da8d6b4f,req_01kr51rkhefynb0hz4ejxhapwy,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,26.4107,200,safe,0.02,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,1,0,0,0,"Mailing list discussion, no phishing cues, no suspicious links or data requests.",0.0
email_09271,ae613d4e15ec8661,groq-compound:email_09271:acf43a87c961,req_01kr52hr6ke2hs0k2mz6xab7x7,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,28.8601,200,phishing,0.9,1,0,0,1,0,0,1,0,0,1,1,,1,0,,1,,,0,1,9,1,0,0,9,"likely phishing due to generic greeting, suspicious links, and too-good-to-be-true offer",0.0
email_09382,cd2985ff23294c2e,groq-compound:email_09382:1f088897a902,req_01kr53188ffrvvhxx8pgzfcxtg,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,31.6568,200,phishing,0.9,1,0,0,1,1,1,1,0,1,1,1,,0,0,,0,,,0,0,9,2,3,2,8,"Suspicious links, generic greeting, and too good to be true offer",1.0
email_09837,d226b9e5acef2423,groq-compound:email_09837:a1b097099ac6,req_01kr51xzy9fzgavwf36ef5bt6g,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,29.7608,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a genuine technical discussion.,0.0
email_09844,b1735000303bc736,groq-compound:email_09844:55586386dcb5,req_01kr52xr5de4bv0ezm20m9f3a3,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,28.9478,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,1,0,0,0,Email appears to be a genuine code contribution request,0.0
email_09897,8403ae07174fe520,groq-compound:email_09897:4e96608e9b07,req_01kr9cknypfkcrwxr36f38mxys,safe,groq-compound,groq,groq/compound,0.0,success,,,,2,407.4623,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,1,9,0,0,0,Email seems to be a genuine call for tutorial proposals.,0.0
email_10005,719aa95c6c416e48,groq-compound:email_10005:59ec4e72c0d8,req_01kr56k8txek8vqxp96qgbd9nj,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,27.6183,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,"Email appears to be a news article or blog post, no suspicious content",0.0
email_10252,e9ab59c04c7ff9e2,groq-compound:email_10252:a73c271a345f,req_01kr52tk48e3yte5spdg424pgv,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,35.2078,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,1,9,2,0,0,Email appears to be an internal corporate communication.,0.0
email_10394,e551ca19aa1a5d0c,groq-compound:email_10394:33b650c6be94,req_01kr521jv4e07bgaqzqcjkrgrz,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,26.6241,200,phishing,0.9,1,0,1,0,1,1,0,0,1,1,1,,1,0,,1,,,0,0,9,1,3,8,2,"Email suspeito, remetente desconhecido, erros gramaticais, solicitação de dados sensíveis, oferta improvável.",1.0
email_10409,2d68850a3a134dc1,groq-compound:email_10409:bf28b655086b,req_01kr52zdrqfrqre2w8h02czhfn,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,26.9995,200,safe,0.1,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,"Email appears to be a genuine, unsolicited inquiry from a university department.",0.0
email_11078,2e1cfa82b035c26c,groq-compound:email_11078:5ff7f44ab631,req_01kr7y2rjmfm08yz2c2ne96be4,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,38.7721,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,"Email vazio, sem indicadores de phishing.",0.0
email_11152,b022fc4b9107f7bb,groq-compound:email_11152:fd97fe5ddb5a,req_01kr55zh9ye228ejgd9a1x6dfa,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,37.7694,200,phishing,0.88,1,0,0,1,1,1,1,0,1,1,1,,0,0,,0,,,0,0,9,1,0,0,1,"Links suspeitos, saudação genérica, oferta exagerada, erros, remetente desconhecido, domínio estranho",1.0
email_11344,aa2a7ddb6ab8ec58,groq-compound:email_11344:756582cd9fd3,req_01kqwmbfewenzt2aa1z9skxgw5,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,22.9943,200,phishing,0.9,0,0,1,1,0,1,1,0,0,1,1,0.0,0,0,1.0,1,0.0,0.0,0,1,9,2,6,8,9,"Solicitação de dados sensíveis, links suspeitos e oferta boa demais.",
email_11627,fa49c80ba314ca02,groq-compound:email_11627:492a2f942c06,req_01kr535vgcevv8yrrtv3b1kz0b,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,35.5375,200,safe,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,Nenhum sinal de phishing; parece um advisory técnico legítimo,0.0
email_11681,64333514f6362232,groq-compound:email_11681:c8c74269e3a7,req_01kr537xcjfspv6txh6xjz9n2p,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,34.4132,200,phishing,0.92,1,0,0,1,1,1,1,0,1,1,0,,0,0,,0,,,0,0,9,2,2,1,7,"Unsolicited email with many errors, generic greeting, suspicious click prompt and unrealistic money offer.",1.0
email_11712,d630656cb59e08ec,groq-compound:email_11712:df4f950720e4,req_01kr9qn939f02s9spxy7y0ef9d,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,29.2025,200,phishing,0.8,1,0,0,0,0,1,1,0,1,1,1,,0,0,,0,,,1,0,8,2,3,2,6,Multiple red flags indicating potential phishing.,1.0
email_11842,21764e3831039f8b,groq-compound:email_11842:137ac66e0c6b,req_01kr9qwy4ffjsv8hj7khtfeq28,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,28.9828,200,safe,0.2,0,0,0,0,0,0,0,0,1,0,0,,0,0,,0,,,0,0,2,8,0,0,0,Email seems safe but has unusual formatting.,0.0
email_11860,531b0ad20bdcbad6,groq-compound:email_11860:8fe7db9479fd,req_01kr8b2jx8ep6bt2yzfnr8n8a5,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,30.5995,200,safe,0.01,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,Email seems genuine and safe.,0.0
email_11983,404b49832941355b,groq-compound:email_11983:d300d1d59d9b,req_01kr9c39njexr874ntfv9hahg0,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,30.2872,200,phishing,0.9,1,1,0,0,1,1,1,0,1,1,0,,0,0,,1,,,0,0,8,2,6,4,3,Enticing offer with grammatical errors and irregular formatting.,1.0
email_12243,d63b6ce3e7580003,groq-compound:email_12243:4d694dbb4f79,req_01kr536yh0e5arfkb6kxw50ean,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,34.841,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a personal and informal message,0.0
email_12341,3a90ddee5d863722,groq-compound:email_12341:258fdf151700,req_01kr9c67j8ey5bcvy6hkmw4kgn,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,34.5883,200,phishing,0.8,1,0,0,0,1,1,1,0,0,0,1,,0,0,,0,,,0,0,8,2,3,2,2,Email appears to be from an unverified source with generic greeting and suspicious domain.,1.0
email_12475,cb618d741758a6c6,groq-compound:email_12475:d71eefc4e270,req_01kr55vgv3eh4asemn28f0nk78,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,35.6357,200,safe,0.1,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,"Newsletter style content, no phishing cues, appears legitimate.",0.0
email_12749,c76bed20f562cc74,groq-compound:email_12749:6afb92d843d2,req_01kqwmaswve4d9dw4q3sff4evp,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,30.6168,200,phishing,0.92,1,0,0,1,1,1,0,0,1,0,0,0.0,0,0,1.0,1,0.0,0.0,0,0,9,2,2,0,8,"Unsolicited spam with suspicious link, grammatical errors, strange formatting, sexual content.",
email_12947,2e1cfa82b035c26c,groq-compound:email_12947:82b4a99cd0a6,req_01kr51hgjafx1tms9jn4d5agjg,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,35.3246,200,safe,1.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email vazio,0.0
email_13299,c62da74a580a82af,groq-compound:email_13299:0ef441417e9a,req_01kr569g4vej6r03psryrs3vzs,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,28.3886,200,phishing,0.9,1,1,1,1,1,1,1,0,1,1,1,,1,0,,1,,,0,0,9,1,9,9,9,"Suspicious email with urgent offer, generic greeting, and request to visit a secure site.",1.0
email_13326,5df6c8fd11d56658,groq-compound:email_13326:dbed72bcda33,req_01kr9r1dbtf428jtky8k8ne7gg,phishing,groq-compound,groq,groq/compound,0.0,success,,,,1,5.1296,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,Email incompleto e sem indícios de phishing.,0.0
email_13764,c96603d83f2ee6b1,groq-compound:email_13764:4bf22a138923,req_01kr55tedneh29ys2rfd8xez0j,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,35.2201,200,safe,0.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,0,0,0,0,Email appears to be a genuine informational message about a TESOL institute event.,0.0
email_13779,0b0c451ed08b1e9f,groq-compound:email_13779:80f6fb47ab57,req_01kr7y60z1e0qvhbb6abswnh1y,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,29.8984,200,safe,1.0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,0,10,0,0,0,Legitimate technical discussion.,0.0
email_14155,ee738558b5b05568,groq-compound:email_14155:a10f1ae28c0a,req_01kr7y6z4rf4zvpd972b7jev82,safe,groq-compound,groq,groq/compound,0.0,success,,,,1,30.3156,200,safe,0.05,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,,,0,0,1,8,0,0,0,Email appears to be a genuine discussion from a mailing list.,0.0
